id,name,guard_name,created_at,updated_at
1,"create permission",web,"2024-12-18 06:25:26","2024-12-18 06:25:26"
2,"edit permission",web,"2024-12-18 06:25:49","2024-12-18 06:25:49"
3,"view permission",web,"2024-12-18 06:25:56","2024-12-18 06:25:56"
4,"delete permission",web,"2024-12-18 06:26:03","2024-12-18 06:26:03"
5,"create role",web,"2024-12-18 06:26:12","2024-12-18 06:26:12"
6,"edit role",web,"2024-12-18 06:26:23","2024-12-18 06:26:23"
7,"view role",web,"2024-12-18 06:26:32","2024-12-18 06:26:32"
8,"delete role",web,"2024-12-18 06:26:50","2024-12-18 06:26:50"
9,"create user",web,"2024-12-18 15:20:24","2024-12-18 15:20:24"
10,"view user",web,"2024-12-18 15:20:35","2024-12-18 15:20:35"
11,"delete user",web,"2024-12-18 15:20:42","2024-12-18 15:20:42"
12,"edit user",web,"2024-12-18 15:21:02","2024-12-18 15:21:02"
13,"create event",web,"2024-12-18 15:21:36","2024-12-18 15:21:36"
14,"edit event",web,"2024-12-18 15:21:41","2024-12-18 15:21:41"
15,"view event",web,"2024-12-18 15:22:07","2024-12-18 15:22:07"
16,"delete event",web,"2024-12-18 15:22:19","2024-12-18 15:22:19"
17,"create purchase",web,"2024-12-18 15:22:57","2024-12-18 15:22:57"
18,"delete purchase",web,"2024-12-18 15:23:04","2024-12-18 15:23:04"
19,"view purchase",web,"2024-12-18 15:23:11","2024-12-18 15:23:11"
20,"edit purchase",web,"2024-12-18 15:23:20","2024-12-18 15:23:20"
21,"create ticket",web,"2024-12-18 15:23:29","2024-12-18 15:23:29"
22,"edit ticket",web,"2024-12-18 15:23:35","2024-12-18 15:23:35"
23,"view ticket",web,"2024-12-18 15:23:41","2024-12-18 15:23:41"
24,"delete ticket",web,"2024-12-18 15:23:52","2024-12-18 15:23:52"
